T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
3.4,1.1749465,0.337569167,0.00127037,3.4,1.222452,0.339188889,0.021649228,3.4,1.224853,0.338236111,-0.052508642,3.4,1.1914105,0.330804444,0.031653395,3.4,1.2287975,0.337378611,-0.01688534,3.4,1.2781895,0.332043056,-0.020643519
3.45,1.191925,0.337283333,-0.025513272,3.45,1.2390875,0.339665278,-0.002540741,3.45,1.242346,0.336044722,-0.068547068,3.45,1.2082175,0.335377778,0.068123611,3.45,1.242346,0.338998333,0.026466049,3.45,1.2943105,0.328803611,-0.033982407
3.5,1.2089035,0.333281667,-0.019055556,3.5,1.256409,0.339379444,-0.024189969,3.5,1.25881,0.32928,-0.047585957,3.5,1.2250245,0.339665278,0.068547068,3.5,1.26224,0.347478056,-0.046474383,3.5,1.310946,0.327565,-0.029218519
3.55,1.2250245,0.333376944,0.021278704,3.55,1.2733875,0.334425,0.009157253,3.55,1.274931,0.328231944,0.019902469,3.55,1.242346,0.341380278,0.072728704,3.55,1.2785325,0.332614722,-0.084797222,3.55,1.327067,0.326040556,-0.024031173
3.6,1.242003,0.337473889,0.025777932,3.6,1.2895085,0.335949444,0.105758333,3.6,1.2912235,0.334329722,0.034511728,3.6,1.25881,0.348240278,0.047691821,3.6,1.2946535,0.332043056,-0.01085108,3.6,1.343531,0.325278333,-0.018049846
3.65,1.2589815,0.338045556,-0.005452006,3.65,1.306144,0.350908056,0.09331929,3.65,1.3087165,0.334710833,-0.004975617,3.65,1.2775035,0.348811944,-0.023237191,3.65,1.3114605,0.335091944,0.00958071,3.65,1.359652,0.323753889,-0.005187346
3.7,1.27596,0.335854167,-0.016038426,3.7,1.325352,0.352813611,-0.052032253,3.7,1.3248375,0.332614722,-0.027842284,3.7,1.2939675,0.344238611,-0.06632392,3.7,1.328439,0.335377778,-0.011539198,3.7,1.375773,0.324516111,0.01085108
3.75,1.2925955,0.333948611,0.013497685,3.75,1.342159,0.341380278,-0.128519136,3.75,1.3419875,0.329851667,-0.016197222,3.75,1.3118035,0.340618056,-0.077280864,3.75,1.3450745,0.333472222,-0.037422994,3.75,1.3920655,0.326040556,0.006034259
3.8,1.3090595,0.336330556,0.055419907,3.8,1.3591375,0.334710833,-0.112639506,3.8,1.357594,0.330899722,-0.000317593,3.8,1.328096,0.33614,-0.074210802,3.8,1.36171,0.332138333,-0.073310957,3.8,1.4085295,0.325087778,0.000158796
3.85,1.3258665,0.344810278,0.012968364,3.85,1.37543,0.330232778,-0.078815895,3.85,1.375087,0.332138333,-0.026518981,3.85,1.3454175,0.332043056,-0.053143827,3.85,1.378517,0.326135833,-0.102794136,3.85,1.424479,0.325564167,0.002223148
3.9,1.34456,0.337188056,-0.028795062,3.9,1.3920655,0.329565833,-0.079239352,3.9,1.3910365,0.328327222,-0.049703241,3.9,1.361024,0.332328889,-0.061665895,3.9,1.394295,0.320705,-0.100994444,3.9,1.4411145,0.325564167,0.001429167
3.95,1.3591375,0.336044722,0.017891049,3.95,1.409044,0.318227778,-0.014450463,3.95,1.4078435,0.326421667,-0.047691821,3.95,1.37886,0.328136667,-0.100306327,3.95,1.410759,0.313178056,-0.043086728,3.95,1.457064,0.325183056,0.010374691
